sb.prepare.met.point-query.warm.range100.pk1
--- absolute
cpu/o		r/o	rKB/o	wKB/o	o/s	dbms
cpu/o		r/o	rKB/o	wKB/o	o/s	dbms
0.009916	0	0	0.001	1268	x.pg9023_def.x9a2_bee.pk1
0.009893	0	0	0.001	1273	x.pg9124_def.x9a2_bee.pk1
0.008661	0	0	0.002	1455	x.pg9224_def.x9a2_bee.pk1
0.008449	0	0	0.001	1468	x.pg9325_def.x9a2_bee.pk1
0.008223	0	0	0.002	1511	x.pg9426_def.x9a2_bee.pk1
0.008437	0	0	0.004	1473	x.pg9525_def.x9a2_bee.pk1
0.008571	0	0	0.002	1450	x.pg9624_def.x9a2_bee.pk1
0.008640	0	0	0.001	1440	x.pg1023_def.x9a2_bee.pk1
0.008215	0	0	0.001	1516	x.pg1122_def.x9a2_bee.pk1
0.008345	0	0	0.001	1487	x.pg1217_def.x9a2_bee.pk1
0.008429	0	0	0.001	1479	x.pg1313_def.x9a2_bee.pk1
0.008261	0	0	0.001	1504	x.pg1411_def.x9a2_bee.pk1
0.008226	0	0	0	1509	x.pg156_def.x9a2_bee.pk1
0.008233	0	0	0	1506	x.pg162_def.x9a2_bee.pk1
--- relative to first result
1.00		1	1	1.00	1.00	x.pg9124_def.x9a2_bee.pk1
0.87		1	1	2.00	1.15	x.pg9224_def.x9a2_bee.pk1
0.85		1	1	1.00	1.16	x.pg9325_def.x9a2_bee.pk1
0.83		1	1	2.00	1.19	x.pg9426_def.x9a2_bee.pk1
0.85		1	1	4.00	1.16	x.pg9525_def.x9a2_bee.pk1
0.86		1	1	2.00	1.14	x.pg9624_def.x9a2_bee.pk1
0.87		1	1	1.00	1.14	x.pg1023_def.x9a2_bee.pk1
0.83		1	1	1.00	1.20	x.pg1122_def.x9a2_bee.pk1
0.84		1	1	1.00	1.17	x.pg1217_def.x9a2_bee.pk1
0.85		1	1	1.00	1.17	x.pg1313_def.x9a2_bee.pk1
0.83		1	1	1.00	1.19	x.pg1411_def.x9a2_bee.pk1
0.83		1	1	0.00	1.19	x.pg156_def.x9a2_bee.pk1
0.83		1	1	0.00	1.19	x.pg162_def.x9a2_bee.pk1

sb.met.points-covered-si.pre.range100.pk1.dop1
--- absolute
cpu/o		r/o	rKB/o	wKB/o	o/s	dbms
0.009519	0.003	0.028	0.001	1265	x.pg9023_def.x9a2_bee.pk1
0.009388	0.045	0.425	0.001	1266	x.pg9124_def.x9a2_bee.pk1
0.007834	0.037	0.34	0.001	1562	x.pg9224_def.x9a2_bee.pk1
0.007772	0.001	0.006	0.001	1570	x.pg9325_def.x9a2_bee.pk1
0.007720	0	0	0.001	1588	x.pg9426_def.x9a2_bee.pk1
0.007824	0	0	0.004	1544	x.pg9525_def.x9a2_bee.pk1
0.007881	0	0	0.001	1520	x.pg9624_def.x9a2_bee.pk1
0.007917	0.038	0.363	0.001	1508	x.pg1023_def.x9a2_bee.pk1
0.007619	0.036	0.342	0.001	1599	x.pg1122_def.x9a2_bee.pk1
0.007768	0.037	0.353	0.001	1547	x.pg1217_def.x9a2_bee.pk1
0.007448	0.031	0.295	0.001	1624	x.pg1313_def.x9a2_bee.pk1
0.007431	0.031	0.291	0.001	1650	x.pg1411_def.x9a2_bee.pk1
0.007374	0.031	0.29	0	1651	x.pg156_def.x9a2_bee.pk1
0.007326	0.031	0.292	0	1646	x.pg162_def.x9a2_bee.pk1
--- relative to first result
0.99		15.00	15.18	1.00	1.00	x.pg9124_def.x9a2_bee.pk1
0.82		12.33	12.14	1.00	1.23	x.pg9224_def.x9a2_bee.pk1
0.82		0.33	0.21	1.00	1.24	x.pg9325_def.x9a2_bee.pk1
0.81		0.00	0.00	1.00	1.26	x.pg9426_def.x9a2_bee.pk1
0.82		0.00	0.00	4.00	1.22	x.pg9525_def.x9a2_bee.pk1
0.83		0.00	0.00	1.00	1.20	x.pg9624_def.x9a2_bee.pk1
0.83		12.67	12.96	1.00	1.19	x.pg1023_def.x9a2_bee.pk1
0.80		12.00	12.21	1.00	1.26	x.pg1122_def.x9a2_bee.pk1
0.82		12.33	12.61	1.00	1.22	x.pg1217_def.x9a2_bee.pk1
0.78		10.33	10.54	1.00	1.28	x.pg1313_def.x9a2_bee.pk1
0.78		10.33	10.39	1.00	1.30	x.pg1411_def.x9a2_bee.pk1
0.77		10.33	10.36	0.00	1.31	x.pg156_def.x9a2_bee.pk1
0.77		10.33	10.43	0.00	1.30	x.pg162_def.x9a2_bee.pk1

sb.met.points-notcovered-si.pre.range100.pk1.dop1
--- absolute
cpu/o		r/o	rKB/o	wKB/o	o/s	dbms
0.010081	0	0	0.001	1223	x.pg9023_def.x9a2_bee.pk1
0.010036	0	0	0.001	1226	x.pg9124_def.x9a2_bee.pk1
