wa-I	wa-C	sa	ca	Nruns	Nlvls	ph	pm	rs	rn	F	L	C
16.3	41.3	1.25	0.007	14	5	140.2	136.0	328.0	8.0	TLN	T1LN3L5X1	t:1:5-l:14.889:3-l:14.889:3-l:14.889:1-l:4.963:1
19.9	42.9	1.24	0.007	11	5	131.2	127.0	271.0	6.6	TLN	T1LN3L5X1	t:1:2-l:14.889:3-l:14.889:3-l:14.889:1-l:4.963:1
12.8	38.8	1.32	0.008	22	5	177.0	172.0	492.0	9.9	TLN	T1LN3L5X1	t:1:11-l:16.000:4-l:16.000:4-l:16.000:1-l:4.000:1
13.2	38.2	1.32	0.008	19	5	168.0	163.0	435.0	9.5	TLN	T1LN3L5X1	t:1:8-l:16.000:4-l:16.000:4-l:16.000:1-l:4.000:1
14.2	39.2	1.32	0.008	16	5	159.0	154.0	378.0	8.8	TLN	T1LN3L5X1	t:1:5-l:16.000:4-l:16.000:4-l:16.000:1-l:4.000:1
18.0	41.0	1.32	0.008	13	5	150.0	145.0	321.0	7.5	TLN	T1LN3L5X1	t:1:2-l:16.000:4-l:16.000:4-l:16.000:1-l:4.000:1
16.4	41.4	1.19	0.006	19	5	152.5	149.0	421.0	8.9	TLN	T1LN4L5X1	t:1:11-l:11.314:2-l:11.314:2-l:11.314:2-l:11.314:1
16.7	40.7	1.19	0.006	16	5	143.5	140.0	364.0	8.5	TLN	T1LN4L5X1	t:1:8-l:11.314:2-l:11.314:2-l:11.314:2-l:11.314:1
17.4	41.4	1.19	0.006	13	5	134.5	131.0	307.0	7.8	TLN	T1LN4L5X1	t:1:5-l:11.314:2-l:11.314:2-l:11.314:2-l:11.314:1
20.1	42.1	1.19	0.006	10	5	125.5	122.0	250.0	6.5	TLN	T1LN4L5X1	t:1:2-l:11.314:2-l:11.314:2-l:11.314:2-l:11.314:1
11.9	39.9	1.29	0.007	22	5	181.3	178.0	498.0	10.7	TLN	T1LN4L5X1	t:1:11-l:11.313:3-l:11.313:3-l:11.313:3-l:11.313:1
12.2	39.2	1.29	0.007	19	5	172.3	169.0	441.0	10.2	TLN	T1LN4L5X1	t:1:8-l:11.313:3-l:11.313:3-l:11.313:3-l:11.313:1
12.9	39.9	1.29	0.007	16	5	163.3	160.0	384.0	9.5	TLN	T1LN4L5X1	t:1:5-l:11.313:3-l:11.313:3-l:11.313:3-l:11.313:1
15.6	40.6	1.29	0.007	13	5	154.3	151.0	327.0	8.2	TLN	T1LN4L5X1	t:1:2-l:11.313:3-l:11.313:3-l:11.313:3-l:11.313:1
9.6	37.6	1.39	0.009	25	5	210.7	209.0	577.0	11.9	TLN	T1LN4L5X1	t:1:11-l:11.312:4-l:11.312:4-l:11.312:4-l:11.312:1
9.9	36.9	1.39	0.009	22	5	201.7	200.0	520.0	11.5	TLN	T1LN4L5X1	t:1:8-l:11.312:4-l:11.312:4-l:11.312:4-l:11.312:1
10.6	37.6	1.39	0.009	19	5	192.7	191.0	463.0	10.8	TLN	T1LN4L5X1	t:1:5-l:11.312:4-l:11.312:4-l:11.312:4-l:11.312:1
13.3	38.3	1.39	0.009	16	5	183.7	182.0	406.0	9.5	TLN	T1LN4L5X1	t:1:2-l:11.312:4-l:11.312:4-l:11.312:4-l:11.312:1
22.1	44.1	1.10	0.005	26	5	187.6	186.0	570.0	9.4	TL	T2L5	t:1:11-t:11:11-l:11.420:1-l:11.420:1-l:11.420:1
22.4	43.4	1.10	0.005	23	5	166.7	165.0	501.0	8.9	TL	T2L5	t:1:11-t:11:8-l:11.420:1-l:11.420:1-l:11.420:1
23.1	44.1	1.10	0.005	20	5	145.7	144.0	432.0	8.3	TL	T2L5	t:1:11-t:11:5-l:11.420:1-l:11.420:1-l:11.420:1
25.8	44.8	1.10	0.005	17	5	124.7	123.0	363.0	6.9	TL	T2L5	t:1:11-t:11:2-l:11.420:1-l:11.420:1-l:11.420:1
17.5	40.5	1.11	0.005	27	5	197.8	196.0	596.0	10.4	TLN	T2LN3L5X0	t:1:11-t:11:11-l:11.420:2-l:11.420:1-l:11.420:1
17.8	39.8	1.11	0.005	24	5	176.8	175.0	527.0	9.9	TLN	T2LN3L5X0	t:1:11-t:11:8-l:11.420:2-l:11.420:1-l:11.420:1
18.5	40.5	1.11	0.005	21	5	155.9	154.0	458.0	9.3	TLN	T2LN3L5X0	t:1:11-t:11:5-l:11.420:2-l:11.420:1-l:11.420:1
21.3	41.3	1.10	0.005	18	5	134.9	133.0	389.0	7.9	TLN	T2LN3L5X0	t:1:11-t:11:2-l:11.420:2-l:11.420:1-l:11.420:1
16.0	40.0	1.12	0.005	28	5	207.8	206.0	622.0	11.0	TLN	T2LN3L5X0	t:1:11-t:11:11-l:11.420:3-l:11.420:1-l:11.420:1
16.3	39.3	1.12	0.005	25	5	186.9	185.0	553.0	10.5	TLN	T2LN3L5X0	t:1:11-t:11:8-l:11.420:3-l:11.420:1-l:11.420:1
17.0	40.0	1.11	0.005	22	5	165.9	164.0	484.0	9.8	TLN	T2LN3L5X0	t:1:11-t:11:5-l:11.420:3-l:11.420:1-l:11.420:1
19.7	40.7	1.11	0.005	19	5	144.9	143.0	415.0	8.5	TLN	T2LN3L5X0	t:1:11-t:11:2-l:11.420:3-l:11.420:1-l:11.420:1
15.3	39.3	1.13	0.005	29	5	217.7	216.0	648.0	11.4	TLN	T2LN3L5X0	t:1:11-t:11:11-l:11.420:4-l:11.420:1-l:11.420:1
15.6	38.6	1.12	0.005	26	5	196.8	195.0	579.0	10.9	TLN	T2LN3L5X0	t:1:11-t:11:8-l:11.420:4-l:11.420:1-l:11.420:1
16.2	39.2	1.12	0.005	23	5	175.8	174.0	510.0	10.3	TLN	T2LN3L5X0	t:1:11-t:11:5-l:11.420:4-l:11.420:1-l:11.420:1
19.0	40.0	1.12	0.005	20	5	154.8	153.0	441.0	8.9	TLN	T2LN3L5X0	t:1:11-t:11:2-l:11.420:4-l:11.420:1-l:11.420:1
13.0	37.0	1.20	0.006	28	5	213.3	210.0	626.0	11.4	TLN	T2LN4L5X0	t:1:11-t:11:11-l:11.420:2-l:11.420:2-l:11.420:1
13.3	36.3	1.20	0.006	25	5	192.4	189.0	557.0	10.9	TLN	T2LN4L5X0	t:1:11-t:11:8-l:11.420:2-l:11.420:2-l:11.420:1
14.0	37.0	1.19	0.006	22	5	171.5	168.0	488.0	10.3	TLN	T2LN4L5X0	t:1:11-t:11:5-l:11.420:2-l:11.420:2-l:11.420:1
16.7	37.7	1.19	0.006	19	5	150.5	147.0	419.0	8.9	TLN	T2LN4L5X0	t:1:11-t:11:2-l:11.420:2-l:11.420:2-l:11.420:1
9.9	35.9	1.29	0.007	30	5	237.1	234.0	682.0	12.6	TLN	T2LN4L5X0	t:1:11-t:11:11-l:11.420:3-l:11.420:3-l:11.420:1
10.2	35.2	1.29	0.007	27	5	216.2	213.0	613.0	12.1	TLN	T2LN4L5X0	t:1:11-t:11:8-l:11.420:3-l:11.420:3-l:11.420:1
10.9	35.9	1.29	0.007	24	5	195.2	192.0	544.0	11.4	TLN	T2LN4L5X0	t:1:11-t:11:5-l:11.420:3-l:11.420:3-l:11.420:1
13.7	36.7	1.29	0.007	21	5	174.2	171.0	475.0	10.1	TLN	T2LN4L5X0	t:1:11-t:11:2-l:11.420:3-l:11.420:3-l:11.420:1
8.4	34.4	1.39	0.009	32	5	259.5	258.0	738.0	13.4	TLN	T2LN4L5X0	t:1:11-t:11:11-l:11.420:4-l:11.420:4-l:11.420:1
8.7	33.7	1.39	0.009	29	5	238.6	237.0	669.0	12.9	TLN	T2LN4L5X0	t:1:11-t:11:8-l:11.420:4-l:11.420:4-l:11.420:1
9.4	34.4	1.38	0.009	26	5	217.7	216.0	600.0	12.3	TLN	T2LN4L5X0	t:1:11-t:11:5-l:11.420:4-l:11.420:4-l:11.420:1
12.1	35.1	1.38	0.009	23	5	196.7	195.0	531.0	10.9	TLN	T2LN4L5X0	t:1:11-t:11:2-l:11.420:4-l:11.420:4-l:11.420:1
15.6	38.6	1.17	0.006	27	5	201.8	199.0	599.0	10.4	TLN	T2LN3L5X1	t:1:11-t:11:11-l:14.388:2-l:14.388:1-l:7.194:1
15.9	37.9	1.16	0.006	24	5	180.8	178.0	530.0	9.9	TLN	T2LN3L5X1	t:1:11-t:11:8-l:14.388:2-l:14.388:1-l:7.194:1
16.8	38.8	1.16	0.006	21	5	159.9	157.0	461.0	9.3	TLN	T2LN3L5X1	t:1:11-t:11:5-l:14.388:2-l:14.388:1-l:7.194:1
20.3	40.3	1.16	0.006	18	5	138.9	136.0	392.0	7.9	TLN	T2LN3L5X1	t:1:11-t:11:2-l:14.388:2-l:14.388:1-l:7.194:1
13.0	37.0	1.22	0.006	28	5	213.6	210.0	626.0	11.0	TLN	T2LN3L5X1	t:1:11-t:11:11-l:16.470:3-l:16.470:1-l:5.490:1
13.4	36.4	1.22	0.006	25	5	192.7	189.0	557.0	10.5	TLN	T2LN3L5X1	t:1:11-t:11:8-l:16.470:3-l:16.470:1-l:5.490:1
14.4	37.4	1.22	0.006	22	5	171.7	168.0	488.0	9.8	TLN	T2LN3L5X1	t:1:11-t:11:5-l:16.470:3-l:16.470:1-l:5.490:1
18.4	39.4	1.22	0.006	19	5	150.7	147.0	419.0	8.5	TLN	T2LN3L5X1	t:1:11-t:11:2-l:16.470:3-l:16.470:1-l:5.490:1
11.6	35.6	1.28	0.007	29	5	225.2	221.0	653.0	11.4	TLN	T2LN3L5X1	t:1:11-t:11:11-l:18.128:4-l:18.128:1-l:4.532:1
12.1	35.1	1.28	0.007	26	5	204.3	200.0	584.0	10.9	TLN	T2LN3L5X1	t:1:11-t:11:8-l:18.128:4-l:18.128:1-l:4.532:1
13.2	36.2	1.27	0.007	23	5	183.3	179.0	515.0	10.3	TLN	T2LN3L5X1	t:1:11-t:11:5-l:18.128:4-l:18.128:1-l:4.532:1
17.5	38.5	1.27	0.007	20	5	162.3	158.0	446.0	8.9	TLN	T2LN3L5X1	t:1:11-t:11:2-l:18.128:4-l:18.128:1-l:4.532:1
13.0	37.0	1.20	0.006	28	5	213.3	210.0	626.0	11.4	TLN	T2LN4L5X1	t:1:11-t:11:11-l:11.420:2-l:11.420:2-l:11.420:1
13.3	36.3	1.20	0.006	25	5	192.4	189.0	557.0	10.9	TLN	T2LN4L5X1	t:1:11-t:11:8-l:11.420:2-l:11.420:2-l:11.420:1
14.0	37.0	1.19	0.006	22	5	171.5	168.0	488.0	10.3	TLN	T2LN4L5X1	t:1:11-t:11:5-l:11.420:2-l:11.420:2-l:11.420:1
16.7	37.7	1.19	0.006	19	5	150.5	147.0	419.0	8.9	TLN	T2LN4L5X1	t:1:11-t:11:2-l:11.420:2-l:11.420:2-l:11.420:1
9.9	35.9	1.29	0.007	30	5	237.1	234.0	682.0	12.6	TLN	T2LN4L5X1	t:1:11-t:11:11-l:11.421:3-l:11.421:3-l:11.421:1
10.2	35.2	1.29	0.007	27	5	216.2	213.0	613.0	12.1	TLN	T2LN4L5X1	t:1:11-t:11:8-l:11.421:3-l:11.421:3-l:11.421:1
10.9	35.9	1.29	0.007	24	5	195.2	192.0	544.0	11.4	TLN	T2LN4L5X1	t:1:11-t:11:5-l:11.421:3-l:11.421:3-l:11.421:1
13.7	36.7	1.29	0.007	21	5	174.2	171.0	475.0	10.1	TLN	T2LN4L5X1	t:1:11-t:11:2-l:11.421:3-l:11.421:3-l:11.421:1
8.4	34.4	1.39	0.009	32	5	259.5	258.0	738.0	13.4	TLN	T2LN4L5X1	t:1:11-t:11:11-l:11.420:4-l:11.420:4-l:11.420:1
8.7	33.7	1.39	0.009	29	5	238.6	237.0	669.0	12.9	TLN	T2LN4L5X1	t:1:11-t:11:8-l:11.420:4-l:11.420:4-l:11.420:1
9.4	34.4	1.38	0.009	26	5	217.7	216.0	600.0	12.3	TLN	T2LN4L5X1	t:1:11-t:11:5-l:11.420:4-l:11.420:4-l:11.420:1
12.1	35.1	1.38	0.009	23	5	196.7	195.0	531.0	10.9	TLN	T2LN4L5X1	t:1:11-t:11:2-l:11.420:4-l:11.420:4-l:11.420:1
14.2	36.2	1.18	0.006	36	5	285.3	286.0	830.0	12.8	TL	T3L5	t:1:11-t:11:11-t:11:11-l:11.636:1-l:11.636:1
14.5	35.5	1.15	0.005	33	5	256.7	256.0	752.0	12.4	TL	T3L5	t:1:11-t:11:11-t:11:8-l:11.636:1-l:11.636:1
15.2	36.2	1.13	0.005	30	5	227.6	226.0	674.0	11.7	TL	T3L5	t:1:11-t:11:11-t:11:5-l:11.636:1-l:11.636:1
18.0	37.0	1.11	0.005	27	5	197.7	196.0	596.0	10.4	TL	T3L5	t:1:11-t:11:11-t:11:2-l:11.636:1-l:11.636:1
9.5	32.5	1.26	0.007	37	5	300.8	300.0	860.0	13.8	TLN	T3LN4L5X0	t:1:11-t:11:11-t:11:11-l:11.636:2-l:11.636:1
9.8	31.8	1.24	0.007	34	5	272.3	270.0	782.0	13.4	TLN	T3LN4L5X0	t:1:11-t:11:11-t:11:8-l:11.636:2-l:11.636:1
10.5	32.5	1.22	0.006	31	5	243.1	240.0	704.0	12.7	TLN	T3LN4L5X0	t:1:11-t:11:11-t:11:5-l:11.636:2-l:11.636:1
13.3	33.3	1.19	0.006	28	5	213.3	210.0	626.0	11.4	TLN	T3LN4L5X0	t:1:11-t:11:11-t:11:2-l:11.636:2-l:11.636:1
7.9	31.9	1.35	0.008	38	5	314.5	314.0	890.0	14.4	TLN	T3LN4L5X0	t:1:11-t:11:11-t:11:11-l:11.636:3-l:11.636:1
8.3	31.3	1.32	0.008	35	5	286.0	284.0	812.0	14.0	TLN	T3LN4L5X0	t:1:11-t:11:11-t:11:8-l:11.636:3-l:11.636:1
9.0	32.0	1.30	0.007	32	5	256.8	254.0	734.0	13.3	TLN	T3LN4L5X0	t:1:11-t:11:11-t:11:5-l:11.636:3-l:11.636:1
11.8	32.8	1.28	0.007	29	5	227.0	224.0	656.0	12.0	TLN	T3LN4L5X0	t:1:11-t:11:11-t:11:2-l:11.636:3-l:11.636:1
7.2	31.2	1.43	0.009	39	5	327.1	328.0	920.0	14.8	TLN	T3LN4L5X0	t:1:11-t:11:11-t:11:11-l:11.636:4-l:11.636:1
7.5	30.5	1.41	0.009	36	5	298.6	298.0	842.0	14.4	TLN	T3LN4L5X0	t:1:11-t:11:11-t:11:8-l:11.636:4-l:11.636:1
8.2	31.2	1.39	0.009	33	5	269.4	268.0	764.0	13.7	TLN	T3LN4L5X0	t:1:11-t:11:11-t:11:5-l:11.636:4-l:11.636:1
11.0	32.0	1.37	0.008	30	5	239.5	238.0	686.0	12.4	TLN	T3LN4L5X0	t:1:11-t:11:11-t:11:2-l:11.636:4-l:11.636:1
6.7	31.7	1.52	0.010	40	5	338.4	342.0	950.0	15.2	TLN	T3LN4L5X0	t:1:11-t:11:11-t:11:11-l:11.636:5-l:11.636:1
7.0	31.0	1.50	0.010	37	5	309.9	312.0	872.0	14.7	TLN	T3LN4L5X0	t:1:11-t:11:11-t:11:8-l:11.636:5-l:11.636:1
7.7	31.7	1.47	0.010	34	5	280.7	282.0	794.0	14.0	TLN	T3LN4L5X0	t:1:11-t:11:11-t:11:5-l:11.636:5-l:11.636:1
10.5	32.5	1.45	0.009	31	5	250.9	252.0	716.0	12.7	TLN	T3LN4L5X0	t:1:11-t:11:11-t:11:2-l:11.636:5-l:11.636:1
9.5	32.5	1.26	0.007	37	5	300.8	300.0	860.0	13.8	TLN	T3LN4L5X1	t:1:11-t:11:11-t:11:11-l:11.636:2-l:11.636:1
9.8	31.8	1.24	0.007	34	5	272.3	270.0	782.0	13.4	TLN	T3LN4L5X1	t:1:11-t:11:11-t:11:8-l:11.636:2-l:11.636:1
10.5	32.5	1.22	0.006	31	5	243.1	240.0	704.0	12.7	TLN	T3LN4L5X1	t:1:11-t:11:11-t:11:5-l:11.636:2-l:11.636:1
13.3	33.3	1.19	0.006	28	5	213.3	210.0	626.0	11.4	TLN	T3LN4L5X1	t:1:11-t:11:11-t:11:2-l:11.636:2-l:11.636:1
7.9	31.9	1.35	0.008	38	5	314.5	314.0	890.0	14.4	TLN	T3LN4L5X1	t:1:11-t:11:11-t:11:11-l:11.637:3-l:11.637:1
8.3	31.3	1.32	0.008	35	5	286.0	284.0	812.0	14.0	TLN	T3LN4L5X1	t:1:11-t:11:11-t:11:8-l:11.637:3-l:11.637:1
9.0	32.0	1.30	0.007	32	5	256.9	254.0	734.0	13.3	TLN	T3LN4L5X1	t:1:11-t:11:11-t:11:5-l:11.637:3-l:11.637:1
11.8	32.8	1.28	0.007	29	5	227.0	224.0	656.0	12.0	TLN	T3LN4L5X1	t:1:11-t:11:11-t:11:2-l:11.637:3-l:11.637:1
7.2	31.2	1.43	0.009	39	5	327.1	328.0	920.0	14.8	TLN	T3LN4L5X1	t:1:11-t:11:11-t:11:11-l:11.636:4-l:11.636:1
7.5	30.5	1.41	0.009	36	5	298.6	298.0	842.0	14.4	TLN	T3LN4L5X1	t:1:11-t:11:11-t:11:8-l:11.636:4-l:11.636:1
8.2	31.2	1.39	0.009	33	5	269.4	268.0	764.0	13.7	TLN	T3LN4L5X1	t:1:11-t:11:11-t:11:5-l:11.636:4-l:11.636:1
11.0	32.0	1.37	0.008	30	5	239.5	238.0	686.0	12.4	TLN	T3LN4L5X1	t:1:11-t:11:11-t:11:2-l:11.636:4-l:11.636:1
6.7	31.7	1.52	0.010	40	5	338.4	342.0	950.0	15.2	TLN	T3LN4L5X1	t:1:11-t:11:11-t:11:11-l:11.635:5-l:11.635:1
7.0	31.0	1.50	0.010	37	5	309.9	312.0	872.0	14.7	TLN	T3LN4L5X1	t:1:11-t:11:11-t:11:8-l:11.635:5-l:11.635:1
7.7	31.7	1.47	0.010	34	5	280.7	282.0	794.0	14.0	TLN	T3LN4L5X1	t:1:11-t:11:11-t:11:5-l:11.635:5-l:11.635:1
10.5	32.5	1.45	0.009	31	5	250.9	252.0	716.0	12.7	TLN	T3LN4L5X1	t:1:11-t:11:11-t:11:2-l:11.635:5-l:11.635:1
5.9	27.9	1.98	0.016	46	5	383.5	426.0	1130.0	16.3	TL	T4L5	t:1:11-t:11:11-t:11:11-t:11:11-l:12.310:1
6.2	27.2	1.74	0.013	43	5	366.1	384.0	1040.0	15.8	TL	T4L5	t:1:11-t:11:11-t:11:11-t:11:8-l:12.310:1
7.0	28.0	1.50	0.010	40	5	338.5	342.0	950.0	15.2	TL	T4L5	t:1:11-t:11:11-t:11:11-t:11:5-l:12.310:1
9.9	28.9	1.25	0.007	37	5	300.6	300.0	860.0	13.8	TL	T4L5	t:1:11-t:11:11-t:11:11-t:11:2-l:12.310:1
25.1	46.1	1.17	0.006	13	6	118.0	115.0	291.0	5.3	TL	T1L6	t:1:7-l:6.964:1-l:6.964:1-l:6.964:1-l:6.964:1-l:6.964:1
25.4	46.4	1.17	0.006	11	6	112.0	109.0	253.0	4.9	TL	T1L6	t:1:5-l:6.964:1-l:6.964:1-l:6.964:1-l:6.964:1-l:6.964:1
26.1	46.1	1.17	0.006	9	6	106.0	103.0	215.0	4.1	TL	T1L6	t:1:3-l:6.964:1-l:6.964:1-l:6.964:1-l:6.964:1-l:6.964:1
22.3	44.3	1.17	0.006	14	6	124.0	121.0	313.0	6.3	TLN	T1LN2L6X0	t:1:7-l:6.964:2-l:6.964:1-l:6.964:1-l:6.964:1-l:6.964:1
22.6	44.6	1.17	0.006	12	6	118.0	115.0	275.0	5.9	TLN	T1LN2L6X0	t:1:5-l:6.964:2-l:6.964:1-l:6.964:1-l:6.964:1-l:6.964:1
23.4	44.4	1.17	0.006	10	6	112.0	109.0	237.0	5.1	TLN	T1LN2L6X0	t:1:3-l:6.964:2-l:6.964:1-l:6.964:1-l:6.964:1-l:6.964:1
19.5	42.5	1.17	0.006	15	6	133.1	130.0	338.0	7.3	TLN	T1LN3L6X0	t:1:7-l:6.964:2-l:6.964:2-l:6.964:1-l:6.964:1-l:6.964:1
19.8	42.8	1.17	0.006	13	6	127.1	124.0	300.0	6.9	TLN	T1LN3L6X0	t:1:5-l:6.964:2-l:6.964:2-l:6.964:1-l:6.964:1-l:6.964:1
20.6	42.6	1.17	0.006	11	6	121.1	118.0	262.0	6.1	TLN	T1LN3L6X0	t:1:3-l:6.964:2-l:6.964:2-l:6.964:1-l:6.964:1-l:6.964:1
16.7	40.7	1.19	0.006	16	6	145.5	142.0	366.0	8.3	TLN	T1LN4L6X0	t:1:7-l:6.964:2-l:6.964:2-l:6.964:2-l:6.964:1-l:6.964:1
17.0	41.0	1.19	0.006	14	6	139.5	136.0	328.0	7.9	TLN	T1LN4L6X0	t:1:5-l:6.964:2-l:6.964:2-l:6.964:2-l:6.964:1-l:6.964:1
17.8	40.8	1.19	0.006	12	6	133.5	130.0	290.0	7.1	TLN	T1LN4L6X0	t:1:3-l:6.964:2-l:6.964:2-l:6.964:2-l:6.964:1-l:6.964:1
13.9	38.9	1.34	0.008	17	6	163.0	157.0	397.0	9.3	TLN	T1LN5L6X0	t:1:7-l:6.964:2-l:6.964:2-l:6.964:2-l:6.964:2-l:6.964:1
14.3	39.3	1.34	0.008	15	6	157.0	151.0	359.0	8.9	TLN	T1LN5L6X0	t:1:5-l:6.964:2-l:6.964:2-l:6.964:2-l:6.964:2-l:6.964:1
15.0	39.0	1.34	0.008	13	6	151.0	145.0	321.0	8.1	TLN	T1LN5L6X0	t:1:3-l:6.964:2-l:6.964:2-l:6.964:2-l:6.964:2-l:6.964:1
20.1	42.1	1.23	0.007	14	6	129.2	125.0	317.0	6.3	TLN	T1LN2L6X1	t:1:7-l:10.556:2-l:10.556:1-l:5.278:1-l:5.278:1-l:5.278:1
20.6	42.6	1.23	0.007	12	6	123.2	119.0	279.0	5.9	TLN	T1LN2L6X1	t:1:5-l:10.556:2-l:10.556:1-l:5.278:1-l:5.278:1-l:5.278:1
21.7	42.7	1.23	0.007	10	6	117.2	113.0	241.0	5.1	TLN	T1LN2L6X1	t:1:3-l:10.556:2-l:10.556:1-l:5.278:1-l:5.278:1-l:5.278:1
17.8	40.8	1.28	0.007	15	6	140.0	135.0	343.0	7.3	TLN	T1LN3L6X1	t:1:7-l:9.190:2-l:9.190:2-l:9.190:1-l:4.595:1-l:4.595:1
18.2	41.2	1.28	0.007	13	6	134.0	129.0	305.0	6.9	TLN	T1LN3L6X1	t:1:5-l:9.190:2-l:9.190:2-l:9.190:1-l:4.595:1-l:4.595:1
19.2	41.2	1.28	0.007	11	6	128.0	123.0	267.0	6.1	TLN	T1LN3L6X1	t:1:3-l:9.190:2-l:9.190:2-l:9.190:1-l:4.595:1-l:4.595:1
15.7	39.7	1.32	0.008	16	6	147.8	142.0	366.0	8.3	TLN	T1LN4L6X1	t:1:7-l:8.000:2-l:8.000:2-l:8.000:2-l:8.000:1-l:4.000:1
16.1	40.1	1.32	0.008	14	6	141.8	136.0	328.0	7.9	TLN	T1LN4L6X1	t:1:5-l:8.000:2-l:8.000:2-l:8.000:2-l:8.000:1-l:4.000:1
16.9	39.9	1.32	0.008	12	6	135.8	130.0	290.0	7.1	TLN	T1LN4L6X1	t:1:3-l:8.000:2-l:8.000:2-l:8.000:2-l:8.000:1-l:4.000:1
13.9	38.9	1.34	0.008	17	6	163.0	157.0	397.0	9.3	TLN	T1LN5L6X1	t:1:7-l:6.964:2-l:6.964:2-l:6.964:2-l:6.964:2-l:6.964:1
14.3	39.3	1.34	0.008	15	6	157.0	151.0	359.0	8.9	TLN	T1LN5L6X1	t:1:5-l:6.964:2-l:6.964:2-l:6.964:2-l:6.964:2-l:6.964:1
15.0	39.0	1.34	0.008	13	6	151.0	145.0	321.0	8.1	TLN	T1LN5L6X1	t:1:3-l:6.964:2-l:6.964:2-l:6.964:2-l:6.964:2-l:6.964:1
20.5	41.5	1.17	0.006	19	6	154.0	151.0	423.0	8.2	TL	T2L6	t:1:7-t:7:7-l:6.956:1-l:6.956:1-l:6.956:1-l:6.956:1
20.8	41.8	1.17	0.006	17	6	142.0	139.0	379.0	7.7	TL	T2L6	t:1:7-t:7:5-l:6.956:1-l:6.956:1-l:6.956:1-l:6.956:1
21.5	41.5	1.17	0.006	15	6	130.0	127.0	335.0	6.9	TL	T2L6	t:1:7-t:7:3-l:6.956:1-l:6.956:1-l:6.956:1-l:6.956:1
17.7	39.7	1.17	0.006	20	6	163.1	160.0	448.0	9.2	TLN	T2LN3L6X0	t:1:7-t:7:7-l:6.956:2-l:6.956:1-l:6.956:1-l:6.956:1
18.0	40.0	1.17	0.006	18	6	151.1	148.0	404.0	8.7	TLN	T2LN3L6X0	t:1:7-t:7:5-l:6.956:2-l:6.956:1-l:6.956:1-l:6.956:1
18.8	39.8	1.17	0.006	16	6	139.1	136.0	360.0	7.9	TLN	T2LN3L6X0	t:1:7-t:7:3-l:6.956:2-l:6.956:1-l:6.956:1-l:6.956:1
14.9	37.9	1.19	0.006	21	6	175.5	172.0	476.0	10.2	TLN	T2LN4L6X0	t:1:7-t:7:7-l:6.956:2-l:6.956:2-l:6.956:1-l:6.956:1
15.2	38.2	1.19	0.006	19	6	163.5	160.0	432.0	9.7	TLN	T2LN4L6X0	t:1:7-t:7:5-l:6.956:2-l:6.956:2-l:6.956:1-l:6.956:1
16.0	38.0	1.19	0.006	17	6	151.5	148.0	388.0	8.9	TLN	T2LN4L6X0	t:1:7-t:7:3-l:6.956:2-l:6.956:2-l:6.956:1-l:6.956:1
12.1	36.1	1.34	0.008	22	6	193.0	187.0	507.0	11.2	TLN	T2LN5L6X0	t:1:7-t:7:7-l:6.956:2-l:6.956:2-l:6.956:2-l:6.956:1
12.5	36.5	1.34	0.008	20	6	181.1	175.0	463.0	10.7	TLN	T2LN5L6X0	t:1:7-t:7:5-l:6.956:2-l:6.956:2-l:6.956:2-l:6.956:1
13.2	36.2	1.34	0.008	18	6	169.1	163.0	419.0	9.9	TLN	T2LN5L6X0	t:1:7-t:7:3-l:6.956:2-l:6.956:2-l:6.956:2-l:6.956:1
15.9	37.9	1.26	0.007	20	6	167.6	163.0	451.0	9.2	TLN	T2LN3L6X1	t:1:7-t:7:7-l:9.836:2-l:9.836:1-l:4.918:1-l:4.918:1
16.4	38.4	1.26	0.007	18	6	155.6	151.0	407.0	8.7	TLN	T2LN3L6X1	t:1:7-t:7:5-l:9.836:2-l:9.836:1-l:4.918:1-l:4.918:1
17.4	38.4	1.25	0.007	16	6	143.6	139.0	363.0	7.9	TLN	T2LN3L6X1	t:1:7-t:7:3-l:9.836:2-l:9.836:1-l:4.918:1-l:4.918:1
13.9	36.9	1.31	0.008	21	6	177.5	172.0	476.0	10.2	TLN	T2LN4L6X1	t:1:7-t:7:7-l:8.272:2-l:8.272:2-l:8.272:1-l:4.136:1
14.2	37.2	1.31	0.008	19	6	165.6	160.0	432.0	9.7	TLN	T2LN4L6X1	t:1:7-t:7:5-l:8.272:2-l:8.272:2-l:8.272:1-l:4.136:1
15.1	37.1	1.31	0.008	17	6	153.6	148.0	388.0	8.9	TLN	T2LN4L6X1	t:1:7-t:7:3-l:8.272:2-l:8.272:2-l:8.272:1-l:4.136:1
12.1	36.1	1.34	0.008	22	6	193.0	187.0	507.0	11.2	TLN	T2LN5L6X1	t:1:7-t:7:7-l:6.956:2-l:6.956:2-l:6.956:2-l:6.956:1
12.5	36.5	1.34	0.008	20	6	181.1	175.0	463.0	10.7	TLN	T2LN5L6X1	t:1:7-t:7:5-l:6.956:2-l:6.956:2-l:6.956:2-l:6.956:1
13.2	36.2	1.34	0.008	18	6	169.1	163.0	419.0	9.9	TLN	T2LN5L6X1	t:1:7-t:7:3-l:6.956:2-l:6.956:2-l:6.956:2-l:6.956:1
15.9	36.9	1.19	0.006	25	6	207.9	205.0	573.0	11.0	TL	T3L6	t:1:7-t:7:7-t:7:7-l:6.941:1-l:6.941:1-l:6.941:1
