wa-I	wa-C	sa	ca	Nruns	Nlvls	ph	pm	rs	rn	F	L	C
48.9	71.9	1.02	0.004	13	3	106.3	106.0	282.0	6.9	TLN	T1LN2L3X0	t:1:8-l:128.000:3-l:128.000:1
28.4	55.4	1.04	0.004	134	3	474.9	476.0	2588.0	11.3	TLN	T1LN2L3X0	t:1:128-l:128.000:4-l:128.000:1
28.7	55.7	1.04	0.004	102	3	379.5	380.0	1980.0	10.9	TLN	T1LN2L3X0	t:1:96-l:128.000:4-l:128.000:1
29.2	55.2	1.04	0.004	70	3	284.0	284.0	1372.0	10.3	TLN	T1LN2L3X0	t:1:64-l:128.000:4-l:128.000:1
30.8	55.8	1.03	0.004	38	3	188.2	188.0	764.0	9.3	TLN	T1LN2L3X0	t:1:32-l:128.000:4-l:128.000:1
78.8	99.8	1.03	0.004	8	3	98.3	98.0	194.0	5.3	TLN	T1LN2L3X0	t:1:2-l:128.000:4-l:128.000:1
53.2	75.2	1.03	0.004	10	3	104.3	104.0	232.0	6.3	TLN	T1LN2L3X0	t:1:4-l:128.000:4-l:128.000:1
44.7	67.7	1.03	0.004	12	3	110.3	110.0	270.0	6.9	TLN	T1LN2L3X0	t:1:6-l:128.000:4-l:128.000:1
40.4	63.4	1.03	0.004	14	3	116.3	116.0	308.0	7.3	TLN	T1LN2L3X0	t:1:8-l:128.000:4-l:128.000:1
23.3	51.3	1.05	0.004	135	3	484.8	486.0	2614.0	11.6	TLN	T1LN2L3X0	t:1:128-l:128.000:5-l:128.000:1
23.5	51.5	1.04	0.004	103	3	389.4	390.0	2006.0	11.2	TLN	T1LN2L3X0	t:1:96-l:128.000:5-l:128.000:1
24.1	51.1	1.04	0.004	71	3	293.8	294.0	1398.0	10.6	TLN	T1LN2L3X0	t:1:64-l:128.000:5-l:128.000:1
25.7	51.7	1.04	0.004	39	3	198.1	198.0	790.0	9.6	TLN	T1LN2L3X0	t:1:32-l:128.000:5-l:128.000:1
73.7	95.7	1.04	0.004	9	3	108.1	108.0	220.0	5.6	TLN	T1LN2L3X0	t:1:2-l:128.000:5-l:128.000:1
48.1	71.1	1.04	0.004	11	3	114.1	114.0	258.0	6.6	TLN	T1LN2L3X0	t:1:4-l:128.000:5-l:128.000:1
39.5	63.5	1.04	0.004	13	3	120.1	120.0	296.0	7.2	TLN	T1LN2L3X0	t:1:6-l:128.000:5-l:128.000:1
35.3	59.3	1.04	0.004	15	3	126.1	126.0	334.0	7.6	TLN	T1LN2L3X0	t:1:8-l:128.000:5-l:128.000:1
19.9	47.9	1.05	0.004	136	3	494.6	496.0	2640.0	11.9	TLN	T1LN2L3X0	t:1:128-l:128.000:6-l:128.000:1
20.1	48.1	1.05	0.004	104	3	399.2	400.0	2032.0	11.5	TLN	T1LN2L3X0	t:1:96-l:128.000:6-l:128.000:1
20.7	47.7	1.05	0.004	72	3	303.6	304.0	1424.0	10.9	TLN	T1LN2L3X0	t:1:64-l:128.000:6-l:128.000:1
22.3	48.3	1.05	0.004	40	3	207.9	208.0	816.0	9.9	TLN	T1LN2L3X0	t:1:32-l:128.000:6-l:128.000:1
70.3	92.3	1.05	0.004	10	3	117.9	118.0	246.0	5.9	TLN	T1LN2L3X0	t:1:2-l:128.000:6-l:128.000:1
44.7	67.7	1.05	0.004	12	3	123.9	124.0	284.0	6.9	TLN	T1LN2L3X0	t:1:4-l:128.000:6-l:128.000:1
36.1	60.1	1.05	0.004	14	3	129.9	130.0	322.0	7.5	TLN	T1LN2L3X0	t:1:6-l:128.000:6-l:128.000:1
31.9	55.9	1.05	0.004	16	3	135.9	136.0	360.0	7.9	TLN	T1LN2L3X0	t:1:8-l:128.000:6-l:128.000:1
17.4	45.4	1.06	0.004	137	3	504.3	506.0	2666.0	12.1	TLN	T1LN2L3X0	t:1:128-l:128.000:7-l:128.000:1
17.7	45.7	1.06	0.004	105	3	408.9	410.0	2058.0	11.7	TLN	T1LN2L3X0	t:1:96-l:128.000:7-l:128.000:1
18.2	45.2	1.06	0.004	73	3	313.3	314.0	1450.0	11.1	TLN	T1LN2L3X0	t:1:64-l:128.000:7-l:128.000:1
19.8	45.8	1.06	0.004	41	3	217.6	218.0	842.0	10.1	TLN	T1LN2L3X0	t:1:32-l:128.000:7-l:128.000:1
67.8	89.8	1.05	0.004	11	3	127.6	128.0	272.0	6.1	TLN	T1LN2L3X0	t:1:2-l:128.000:7-l:128.000:1
42.2	65.2	1.05	0.004	13	3	133.6	134.0	310.0	7.1	TLN	T1LN2L3X0	t:1:4-l:128.000:7-l:128.000:1
33.7	57.7	1.06	0.004	15	3	139.6	140.0	348.0	7.7	TLN	T1LN2L3X0	t:1:6-l:128.000:7-l:128.000:1
29.4	53.4	1.06	0.004	17	3	145.6	146.0	386.0	8.1	TLN	T1LN2L3X0	t:1:8-l:128.000:7-l:128.000:1
15.6	43.6	1.07	0.004	138	3	513.9	516.0	2692.0	12.3	TLN	T1LN2L3X0	t:1:128-l:128.000:8-l:128.000:1
15.9	43.9	1.07	0.004	106	3	418.5	420.0	2084.0	11.9	TLN	T1LN2L3X0	t:1:96-l:128.000:8-l:128.000:1
16.4	43.4	1.07	0.004	74	3	323.0	324.0	1476.0	11.3	TLN	T1LN2L3X0	t:1:64-l:128.000:8-l:128.000:1
18.0	44.0	1.06	0.004	42	3	227.2	228.0	868.0	10.3	TLN	T1LN2L3X0	t:1:32-l:128.000:8-l:128.000:1
66.0	88.0	1.06	0.004	12	3	137.3	138.0	298.0	6.3	TLN	T1LN2L3X0	t:1:2-l:128.000:8-l:128.000:1
40.4	63.4	1.06	0.004	14	3	143.3	144.0	336.0	7.3	TLN	T1LN2L3X0	t:1:4-l:128.000:8-l:128.000:1
31.9	55.9	1.06	0.004	16	3	149.3	150.0	374.0	7.9	TLN	T1LN2L3X0	t:1:6-l:128.000:8-l:128.000:1
27.6	51.6	1.06	0.004	18	3	155.3	156.0	412.0	8.3	TLN	T1LN2L3X0	t:1:8-l:128.000:8-l:128.000:1
54.0	80.0	1.02	0.004	132	3	454.9	456.0	2536.0	10.3	TLN	T1LN2L3X1	t:1:128-l:128.000:2-l:128.000:1
54.3	80.3	1.02	0.004	100	3	359.6	360.0	1928.0	9.9	TLN	T1LN2L3X1	t:1:96-l:128.000:2-l:128.000:1
54.8	79.8	1.02	0.004	68	3	264.0	264.0	1320.0	9.3	TLN	T1LN2L3X1	t:1:64-l:128.000:2-l:128.000:1
56.4	80.4	1.02	0.004	36	3	168.2	168.0	712.0	8.3	TLN	T1LN2L3X1	t:1:32-l:128.000:2-l:128.000:1
104.4	124.4	1.02	0.004	6	3	78.3	78.0	142.0	4.3	TLN	T1LN2L3X1	t:1:2-l:128.000:2-l:128.000:1
78.8	99.8	1.02	0.004	8	3	84.3	84.0	180.0	5.3	TLN	T1LN2L3X1	t:1:4-l:128.000:2-l:128.000:1
70.3	92.3	1.02	0.004	10	3	90.3	90.0	218.0	5.9	TLN	T1LN2L3X1	t:1:6-l:128.000:2-l:128.000:1
66.0	88.0	1.02	0.004	12	3	96.3	96.0	256.0	6.3	TLN	T1LN2L3X1	t:1:8-l:128.000:2-l:128.000:1
36.9	63.9	1.03	0.004	133	3	468.0	469.0	2565.0	10.9	TLN	T1LN2L3X1	t:1:128-l:128.001:3-l:128.001:1
37.2	64.2	1.03	0.004	101	3	372.6	373.0	1957.0	10.5	TLN	T1LN2L3X1	t:1:96-l:128.001:3-l:128.001:1
37.7	63.7	1.03	0.004	69	3	277.0	277.0	1349.0	9.9	TLN	T1LN2L3X1	t:1:64-l:128.001:3-l:128.001:1
39.3	64.3	1.03	0.004	37	3	181.2	181.0	741.0	8.9	TLN	T1LN2L3X1	t:1:32-l:128.001:3-l:128.001:1
87.3	108.3	1.02	0.004	7	3	91.3	91.0	171.0	4.9	TLN	T1LN2L3X1	t:1:2-l:128.001:3-l:128.001:1
61.7	83.7	1.02	0.004	9	3	97.3	97.0	209.0	5.9	TLN	T1LN2L3X1	t:1:4-l:128.001:3-l:128.001:1
53.2	76.2	1.02	0.004	11	3	103.3	103.0	247.0	6.5	TLN	T1LN2L3X1	t:1:6-l:128.001:3-l:128.001:1
48.9	71.9	1.02	0.004	13	3	109.3	109.0	285.0	6.9	TLN	T1LN2L3X1	t:1:8-l:128.001:3-l:128.001:1
28.4	55.4	1.04	0.004	134	3	474.9	476.0	2588.0	11.3	TLN	T1LN2L3X1	t:1:128-l:128.000:4-l:128.000:1
28.7	55.7	1.04	0.004	102	3	379.5	380.0	1980.0	10.9	TLN	T1LN2L3X1	t:1:96-l:128.000:4-l:128.000:1
29.2	55.2	1.04	0.004	70	3	284.0	284.0	1372.0	10.3	TLN	T1LN2L3X1	t:1:64-l:128.000:4-l:128.000:1
30.8	55.8	1.03	0.004	38	3	188.2	188.0	764.0	9.3	TLN	T1LN2L3X1	t:1:32-l:128.000:4-l:128.000:1
78.8	99.8	1.03	0.004	8	3	98.3	98.0	194.0	5.3	TLN	T1LN2L3X1	t:1:2-l:128.000:4-l:128.000:1
53.2	75.2	1.03	0.004	10	3	104.3	104.0	232.0	6.3	TLN	T1LN2L3X1	t:1:4-l:128.000:4-l:128.000:1
44.7	67.7	1.03	0.004	12	3	110.3	110.0	270.0	6.9	TLN	T1LN2L3X1	t:1:6-l:128.000:4-l:128.000:1
40.4	63.4	1.03	0.004	14	3	116.3	116.0	308.0	7.3	TLN	T1LN2L3X1	t:1:8-l:128.000:4-l:128.000:1
23.3	51.3	1.05	0.004	135	3	484.8	486.0	2614.0	11.6	TLN	T1LN2L3X1	t:1:128-l:128.000:5-l:128.000:1
23.5	51.5	1.04	0.004	103	3	389.4	390.0	2006.0	11.2	TLN	T1LN2L3X1	t:1:96-l:128.000:5-l:128.000:1
24.1	51.1	1.04	0.004	71	3	293.8	294.0	1398.0	10.6	TLN	T1LN2L3X1	t:1:64-l:128.000:5-l:128.000:1
25.7	51.7	1.04	0.004	39	3	198.1	198.0	790.0	9.6	TLN	T1LN2L3X1	t:1:32-l:128.000:5-l:128.000:1
73.7	95.7	1.04	0.004	9	3	108.1	108.0	220.0	5.6	TLN	T1LN2L3X1	t:1:2-l:128.000:5-l:128.000:1
48.1	71.1	1.04	0.004	11	3	114.1	114.0	258.0	6.6	TLN	T1LN2L3X1	t:1:4-l:128.000:5-l:128.000:1
39.5	63.5	1.04	0.004	13	3	120.1	120.0	296.0	7.2	TLN	T1LN2L3X1	t:1:6-l:128.000:5-l:128.000:1
35.3	59.3	1.04	0.004	15	3	126.1	126.0	334.0	7.6	TLN	T1LN2L3X1	t:1:8-l:128.000:5-l:128.000:1
19.9	47.9	1.05	0.004	136	3	494.6	496.0	2640.0	11.9	TLN	T1LN2L3X1	t:1:128-l:127.998:6-l:127.998:1
20.1	48.1	1.05	0.004	104	3	399.2	400.0	2032.0	11.5	TLN	T1LN2L3X1	t:1:96-l:127.998:6-l:127.998:1
20.7	47.7	1.05	0.004	72	3	303.6	304.0	1424.0	10.9	TLN	T1LN2L3X1	t:1:64-l:127.998:6-l:127.998:1
22.3	48.3	1.05	0.004	40	3	207.9	208.0	816.0	9.9	TLN	T1LN2L3X1	t:1:32-l:127.998:6-l:127.998:1
70.3	92.3	1.05	0.004	10	3	117.9	118.0	246.0	5.9	TLN	T1LN2L3X1	t:1:2-l:127.998:6-l:127.998:1
44.7	67.7	1.05	0.004	12	3	123.9	124.0	284.0	6.9	TLN	T1LN2L3X1	t:1:4-l:127.998:6-l:127.998:1
36.1	60.1	1.05	0.004	14	3	129.9	130.0	322.0	7.5	TLN	T1LN2L3X1	t:1:6-l:127.998:6-l:127.998:1
31.9	55.9	1.05	0.004	16	3	135.9	136.0	360.0	7.9	TLN	T1LN2L3X1	t:1:8-l:127.998:6-l:127.998:1
17.4	45.4	1.06	0.004	137	3	511.1	513.0	2673.0	12.1	TLN	T1LN2L3X1	t:1:128-l:128.002:7-l:128.002:1
17.7	45.7	1.06	0.004	105	3	415.8	417.0	2065.0	11.7	TLN	T1LN2L3X1	t:1:96-l:128.002:7-l:128.002:1
18.2	45.2	1.06	0.004	73	3	320.2	321.0	1457.0	11.1	TLN	T1LN2L3X1	t:1:64-l:128.002:7-l:128.002:1
19.8	45.8	1.06	0.004	41	3	224.4	225.0	849.0	10.1	TLN	T1LN2L3X1	t:1:32-l:128.002:7-l:128.002:1
